SubjectIdIndex,NumWrong,NumTimeout,username,ServerTime,NumCorrect,TeamArrival,TeamCorrect,TeamDamage,TeamTotal,SI_Index,SI_DM_Index,SI_Role,SubjectId,reschuRun
705,2,1,Nav       ,2024-09-24 11:05:17.480,10,14,10,0,24,705,262,Nav                                               ,17,6
706,0,0,Pilot     ,2024-09-24 11:05:17.493,0,14,10,0,24,706,262,Pilot                                             ,18,6
708,0,0,Pilot     ,2024-09-24 11:11:18.527,0,16,13,0,29,708,263,Pilot                                             ,18,7
709,1,1,Nav       ,2024-09-24 11:11:18.540,13,16,13,0,29,709,263,Nav                                               ,17,7
714,1,1,Nav       ,2024-09-24 14:12:35.187,4,8,4,0,12,714,265,Nav                                               ,19,0
715,0,0,Pilot     ,2024-09-24 14:12:35.200,0,8,4,0,12,715,265,Pilot                                             ,20,0
720,0,0,Pilot     ,2024-09-24 14:24:45.233,0,10,7,4,13,720,267,Pilot                                             ,20,1
721,0,2,Nav       ,2024-09-24 14:24:45.250,7,10,7,4,13,721,267,Nav                                               ,19,1
723,1,2,Nav       ,2024-09-24 14:31:37.363,5,8,5,2,11,723,268,Nav                                               ,19,2
724,0,0,Pilot     ,2024-09-24 14:31:37.380,0,8,5,2,11,724,268,Pilot                                             ,20,2
726,1,2,Nav       ,2024-09-24 14:38:35.417,7,11,7,0,18,726,269,Nav                                               ,19,3
727,0,0,Pilot     ,2024-09-24 14:38:35.430,0,11,7,0,18,727,269,Pilot                                             ,20,3
729,2,0,Nav       ,2024-09-24 14:50:30.897,7,13,7,0,20,729,270,Nav                                               ,19,4
730,0,0,Pilot     ,2024-09-24 14:50:30.910,0,13,7,0,20,730,270,Pilot                                             ,20,4
732,0,0,Pilot     ,2024-09-24 14:58:29.470,0,12,9,0,21,732,271,Pilot                                             ,20,5
733,0,2,Nav       ,2024-09-24 14:58:29.483,9,12,9,0,21,733,271,Nav                                               ,19,5
735,2,1,Nav       ,2024-09-24 15:04:46.663,9,13,9,0,22,735,272,Nav                                               ,19,6
736,0,0,Pilot     ,2024-09-24 15:04:46.677,0,13,9,0,22,736,272,Pilot                                             ,20,6
738,0,0,Pilot     ,2024-09-24 15:11:14.370,0,11,9,0,20,738,273,Pilot                                             ,20,7
739,2,0,Nav       ,2024-09-24 15:11:14.383,9,11,9,0,20,739,273,Nav                                               ,19,7
765,1,1,Nav       ,2024-09-25 14:16:08.333,5,7,5,0,12,765,282,Nav                                               ,21,0
766,0,0,Pilot     ,2024-09-25 14:16:08.347,0,7,5,0,12,766,282,Pilot                                             ,22,0
768,3,1,Nav       ,2024-09-25 14:26:09.447,5,9,5,0,14,768,283,Nav                                               ,21,1
769,0,0,Pilot     ,2024-09-25 14:26:09.460,0,9,5,0,14,769,283,Pilot                                             ,22,1
771,2,1,Nav       ,2024-09-25 14:32:37.667,5,9,5,2,12,771,284,Nav                                               ,21,2
772,0,0,Pilot     ,2024-09-25 14:32:37.680,0,9,5,2,12,772,284,Pilot                                             ,22,2
774,1,2,Nav       ,2024-09-25 14:39:04.817,8,13,8,2,19,774,285,Nav                                               ,21,3
775,0,0,Pilot     ,2024-09-25 14:39:04.830,0,13,8,2,19,775,285,Pilot                                             ,22,3
777,1,0,Nav       ,2024-09-25 14:51:10.513,5,8,5,2,11,777,286,Nav                                               ,21,4
778,0,0,Pilot     ,2024-09-25 14:51:10.527,0,8,5,2,11,778,286,Pilot                                             ,22,4
780,2,2,Nav       ,2024-09-25 14:58:03.903,7,11,7,2,16,780,287,Nav                                               ,21,5
781,0,0,Pilot     ,2024-09-25 14:58:03.917,0,11,7,2,16,781,287,Pilot                                             ,22,5
783,0,5,Nav       ,2024-09-25 15:04:42.863,5,11,5,0,16,783,288,Nav                                               ,21,6
784,0,0,Pilot     ,2024-09-25 15:04:42.877,0,11,5,0,16,784,288,Pilot                                             ,22,6
786,3,0,Nav       ,2024-09-25 15:12:49.673,11,17,11,2,26,786,289,Nav                                               ,21,7
787,0,0,Pilot     ,2024-09-25 15:12:49.687,0,17,11,2,26,787,289,Pilot                                             ,22,7
792,0,0,Pilot     ,2024-09-26 10:25:42.280,0,6,1,2,5,792,291,Pilot                                             ,24,0
793,2,0,Nav       ,2024-09-26 10:25:42.297,1,6,1,2,5,793,291,Nav                                               ,23,0
795,5,2,Nav       ,2024-09-26 10:34:32.920,1,8,1,0,9,795,292,Nav                                               ,23,1
