frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
39,  0,  0.633,  0.98,  1, 0.00, 0.00, 2.78, 0.00, 0.25, 0.81, 0.00, 0.00, 0.32, 0.03, 0.04, 0.17, 0.00, 0.17, 0.00, 0.39, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40,  0,  0.650,  0.98,  1, 0.00, 0.03, 2.75, 0.00, 0.25, 0.83, 0.00, 0.00, 0.32, 0.05, 0.09, 0.20, 0.00, 0.24, 0.02, 0.39, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
41,  0,  0.667,  0.98,  1, 0.01, 0.03, 2.70, 0.03, 0.26, 0.84, 0.00, 0.00, 0.30, 0.09, 0.13, 0.28, 0.00, 0.29, 0.02, 0.42, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
42,  0,  0.683,  0.98,  1, 0.01, 0.03, 2.76, 0.09, 0.28, 0.90, 0.00, 0.00, 0.29, 0.13, 0.16, 0.33, 0.00, 0.28, 0.02, 0.43, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
43,  0,  0.700,  0.98,  1, 0.04, 0.01, 2.78, 0.16, 0.29, 0.89, 0.00, 0.00, 0.30, 0.16, 0.16, 0.32, 0.00, 0.23, 0.00, 0.42, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
44,  0,  0.717,  0.98,  1, 0.06, 0.01, 2.80, 0.26, 0.29, 0.87, 0.00, 0.00, 0.30, 0.12, 0.14, 0.19, 0.00, 0.19, 0.00, 0.36, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
45,  0,  0.733,  0.98,  1, 0.08, 0.01, 2.78, 0.35, 0.27, 0.84, 0.00, 0.00, 0.29, 0.06, 0.09, 0.11, 0.00, 0.16, 0.00, 0.34, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
46,  0,  0.750,  0.98,  1, 0.10, 0.00, 2.76, 0.43, 0.26, 0.86, 0.00, 0.00, 0.26, 0.00, 0.07, 0.04, 0.00, 0.14, 0.00, 0.30, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
47,  0,  0.767,  0.98,  1, 0.07, 0.00, 2.64, 0.38, 0.21, 0.82, 0.00, 0.00, 0.26, 0.00, 0.08, 0.02, 0.00, 0.15, 0.00, 0.25, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48,  0,  0.783,  0.98,  1, 0.10, 0.00, 2.51, 0.32, 0.16, 0.88, 0.00, 0.00, 0.24, 0.03, 0.07, 0.04, 0.04, 0.17, 0.00, 0.21, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
