frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
39, 0, 1.267, 0.98, 1, 0.22, 0.26, 0.19, 0.25, -0.90, -0.47, 0.50, -0.65, 0.09, -0.40, 0.70, 1.05, 0.41, 0.62, 0.46, 0.38, 0.64, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
40, 0, 1.300, 0.98, 1, 0.20, 0.00, 0.13, 0.34, -0.89, -0.72, 0.44, -0.62, 0.09, -0.43, 0.36, 1.09, 0.14, 0.58, 0.64, 0.44, 0.66, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
41, 0, 1.333, 0.98, 1, 0.31, 0.25, 0.27, 0.38, -0.91, -0.47, 0.53, -0.65, 0.08, -0.45, 0.52, 1.07, 0.30, 0.62, 0.49, 0.53, 0.72, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
42, 0, 1.367, 0.98, 1, 0.20, 0.27, 0.30, 0.42, -0.87, -0.48, 0.51, -0.61, 0.07, -0.50, 0.40, 1.04, 0.12, 0.57, 0.42, 0.49, 0.57, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
43, 0, 1.400, 0.98, 1, 0.24, 0.39, 0.20, 0.26, -0.86, -0.32, 0.52, -0.61, 0.14, -0.56, 0.60, 1.02, 0.33, 0.60, 0.46, 0.48, 0.50, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
44, 0, 1.433, 0.98, 1, 0.34, 0.27, 0.22, 0.48, -0.87, -0.35, 0.42, -0.54, 0.11, -0.64, 0.28, 0.85, 0.15, 0.58, 0.68, 0.31, 0.69, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
45, 0, 1.467, 0.98, 1, 0.33, 0.29, 0.21, 0.49, -0.92, -0.59, 0.52, -0.48, 0.08, -0.56, 0.34, 0.79, 0.43, 0.52, 0.64, 0.27, 0.78, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
46, 0, 1.500, 0.98, 1, 0.46, 0.43, 0.20, 0.49, -0.88, -0.50, 0.50, -0.53, -0.00, -0.27, 0.20, 1.05, 0.53, 0.57, 0.44, 0.37, 0.60, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
47, 0, 1.533, 0.98, 1, 0.34, 0.32, 0.17, 0.49, -0.89, -0.71, 0.50, -0.55, -0.02, -0.42, 0.13, 0.91, 0.45, 0.62, 0.51, 0.25, 0.75, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
48, 0, 1.567, 0.98, 1, 0.34, 0.26, 0.20, 0.62, -0.88, -0.74, 0.58, -0.48, 0.01, -0.33, 0.01, 0.77, 0.47, 0.59, 0.62, 0.27, 0.52, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
49, 0, 1.600, 0.98, 1, 0.49, 0.35, 0.19, 0.39, -0.96, -0.18, 0.57, -0.53, -0.13, -0.23, 0.17, 0.56, 0.20, 0.63, 0.30, 0.18, 0.67, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
